ID,jumlah_promosi
2241,0
2274,0
1107,0
4478,0
5080,4
5725,4
456,1
1711,0
2940,6
3031,6
3551,4
5987,5
6925,0
5735,4
298,2
4020,4
3127,2
7432,0
7375,6
1996,4
5966,0
6697,6
3544,2
7122,6
1379,0
505,6
224,6
3024,0
2946,5
153,1
229,1
7411,5
2655,3
6972,5
320,0
5205,4
2454,2
3482,0
6708,5
3028,1
5747,3
787,1
6608,0
3188,1
5995,5
10,1
1556,3
2100,0
4496,5
6847,5
2681,0
570,0
4800,5
5642,4
6813,5
5820,4
3731,2
4586,0
6650,5
2024,5
3512,0
2532,6
3640,2
129,0
6712,5
6460,0
5050,4
4665,3
4532,3
2434,3
4832,3
5451,4
6220,5
1922,1
7414,4
4959,6
2165,0
7523,6
1448,2
2121,0
6991,5
6533,5
152,6
2474,5
6976,5
1208,1
6369,5
907,2
4663,3
2063,0
524,1
7455,0
5072,4
2293,0
7116,6
3319,1
5402,4
2703,1
3903,0
5498,4
3829,2
2327,5
5221,1
5517,0
3692,2
5198,2
2742,1
6303,5
1484,1
3124,1
2764,5
426,1
4334,3
1115,4
988,1
6412,5
681,4
4240,3
3757,2
3711,4
5911,4
6818,5
3933,2
5153,4
407,0
2665,5
6272,5
117,2
3536,3
5828,4
773,0
7026,6
4269,0
4874,1
6374,5
445,6
2019,1
3235,0
4380,3
4795,3
4221,3
5770,4
7457,5
4504,3
1818,1
227,1
3716,2
7568,6
4983,1
6101,5
601,2
6660,5
7578,6
5884,4
3296,2
6114,5
5306,4
93,3
6397,5
5393,4
5739,1
5782,0
4238,3
7349,6
7600,6
1841,5
2862,1
6413,5
337,0
84,1
5332,6
4147,1
5435,5
2462,0
6565,5
4895,2
1056,1
203,5
5183,3
376,3
2303,0
1659,1
6393,5
6433,3
3562,0
868,1
3374,1
2315,3
1822,0
2008,0
2290,0
6926,5
3914,0
4054,2
2072,1
1177,0
7402,6
4158,3
6495,0
6432,5
4853,3
5307,4
3661,2
5954,4
4273,3
4525,1
4989,2
4690,3
1071,0
537,3
1350,1
3079,1
4217,3
5453,4
5783,6
7456,5
6798,5
6197,4
6095,5
923,1
4290,3
2492,1
7562,6
2269,1
6988,5
4460,3
1285,0
6941,5
7620,6
382,1
2510,0
4357,0
6875,5
1929,3
5649,4
5250,4
1061,1
7593,3
6523,5
2284,0
431,2
2423,0
6352,0
5567,4
4403,3
1336,0
1138,0
5659,3
1597,1
101,1
796,0
5711,4
2173,4
4821,2
7461,6
3248,1
7308,5
3528,1
256,0
6502,5
7154,6
3098,4
6184,6
70,5
1282,5
3273,1
2741,0
2481,0
1920,0
4328,3
5874,1
7174,6
5842,4
7127,2
4224,3
5975,5
4200,0
2806,0
6458,3
5571,4
1777,2
4184,3
457,0
4303,3
6999,5
3876,5
2353,5
273,2
774,6
7347,6
5582,4
1414,1
1116,0
766,6
5340,4
913,6
5937,3
2363,1
504,1
5556,4
2417,0
1020,1
4678,1
6671,5
6643,5
6018,5
5367,4
3141,5
2362,0
2180,0
